Checkpoint is None, starting a fresh model
Epoch [1/100], Training Loss: 0.6662
Epoch [2/100], Training Loss: 0.3217
Epoch [3/100], Training Loss: 0.2756
Epoch [4/100], Training Loss: 0.2684
Epoch [5/100], Training Loss: 0.2615
Epoch [6/100], Training Loss: 0.2407
Epoch [7/100], Training Loss: 0.2154
Epoch [8/100], Training Loss: 0.1673
Epoch [9/100], Training Loss: 0.1651
Epoch [10/100], Training Loss: 0.1665
Epoch [11/100], Training Loss: 0.1493
Epoch [12/100], Training Loss: 0.1119
Epoch [13/100], Training Loss: 0.1322
Epoch [14/100], Training Loss: 0.0861
Epoch [15/100], Training Loss: 0.0663
Epoch [16/100], Training Loss: 0.2800
Epoch [17/100], Training Loss: 0.1400
Epoch [18/100], Training Loss: 0.0870
Epoch [19/100], Training Loss: 0.0592
Epoch [20/100], Training Loss: 0.0473
Epoch [21/100], Training Loss: 0.0430
Epoch [22/100], Training Loss: 0.0594
Epoch [23/100], Training Loss: 0.0424
Epoch [24/100], Training Loss: 0.0367
Epoch [25/100], Training Loss: 0.0404
Epoch [26/100], Training Loss: 0.0377
Epoch [27/100], Training Loss: 0.0333
Epoch [28/100], Training Loss: 0.0315
Epoch [29/100], Training Loss: 0.0306
Epoch [30/100], Training Loss: 0.0295
Epoch [31/100], Training Loss: 0.0282
Epoch [32/100], Training Loss: 0.0275
Epoch [33/100], Training Loss: 0.0271
Epoch [34/100], Training Loss: 0.0258
Epoch [35/100], Training Loss: 0.0263
Epoch [36/100], Training Loss: 0.0280
Epoch [37/100], Training Loss: 0.0250
Epoch [38/100], Training Loss: 0.0240
Epoch [39/100], Training Loss: 0.0230
Epoch [40/100], Training Loss: 0.0226
Epoch [41/100], Training Loss: 0.0226
Epoch [42/100], Training Loss: 0.0222
Epoch [43/100], Training Loss: 0.0220
Epoch [44/100], Training Loss: 0.0224
Epoch [45/100], Training Loss: 0.0206
Epoch [46/100], Training Loss: 0.0202
Epoch [47/100], Training Loss: 0.0215
Epoch [48/100], Training Loss: 0.0208
Epoch [49/100], Training Loss: 0.0197
Epoch [50/100], Training Loss: 0.0198
Epoch [51/100], Training Loss: 0.0195
Epoch [52/100], Training Loss: 0.0185
Epoch [53/100], Training Loss: 0.0183
Epoch [54/100], Training Loss: 0.0189
Epoch [55/100], Training Loss: 0.0182
Epoch [56/100], Training Loss: 0.0180
Epoch [57/100], Training Loss: 0.0175
Epoch [58/100], Training Loss: 0.0178
Epoch [59/100], Training Loss: 0.0178
Epoch [60/100], Training Loss: 0.0178
Epoch [61/100], Training Loss: 0.0168
Epoch [62/100], Training Loss: 0.0166
Epoch [63/100], Training Loss: 0.0171
Epoch [64/100], Training Loss: 0.0166
Epoch [65/100], Training Loss: 0.0164
Epoch [66/100], Training Loss: 0.0167
Epoch [67/100], Training Loss: 0.0164
Epoch [68/100], Training Loss: 0.0158
Epoch [69/100], Training Loss: 0.0163
Epoch [70/100], Training Loss: 0.0154
Epoch [71/100], Training Loss: 0.0156
Epoch [72/100], Training Loss: 0.0162
Epoch [73/100], Training Loss: 0.0151
Epoch [74/100], Training Loss: 0.0158
Epoch [75/100], Training Loss: 0.0160
Epoch [76/100], Training Loss: 0.0152
Epoch [77/100], Training Loss: 0.0152
Epoch [78/100], Training Loss: 0.0149
Epoch [79/100], Training Loss: 0.0143
Epoch [80/100], Training Loss: 0.0149
Epoch [81/100], Training Loss: 0.0145
Epoch [82/100], Training Loss: 0.0145
Epoch [83/100], Training Loss: 0.0148
Epoch [84/100], Training Loss: 0.0147
Epoch [85/100], Training Loss: 0.0143
Epoch [86/100], Training Loss: 0.0142
Epoch [87/100], Training Loss: 0.0145
Epoch [88/100], Training Loss: 0.0138
Epoch [89/100], Training Loss: 0.0135
Epoch [90/100], Training Loss: 0.0136
Epoch [91/100], Training Loss: 0.0143
Epoch [92/100], Training Loss: 0.0135
Epoch [93/100], Training Loss: 0.0131
Epoch [94/100], Training Loss: 0.0133
Epoch [95/100], Training Loss: 0.0131
Epoch [96/100], Training Loss: 0.0138
Epoch [97/100], Training Loss: 0.0134
Epoch [98/100], Training Loss: 0.0135
Epoch [99/100], Training Loss: 0.0134
Epoch [100/100], Training Loss: 0.0127
Model weights saved to /home/chetan/Desktop/Acads/CS231n/Project/Video-Segmentation-for-Autonomous-Manipulation/UNet/Saved Models/test.pth
