Num Training Samples 38
Num Val Samples 13
Checkpoint is None, starting a fresh model
Epoch [1/100], Training Loss: 0.5877, Training Dice: 0.0000
Epoch [2/100], Training Loss: 0.2933, Training Dice: 0.0000
Epoch [3/100], Training Loss: 0.2712, Training Dice: 0.0000
Epoch [4/100], Training Loss: 0.2613, Training Dice: 0.0000
Epoch [5/100], Training Loss: 0.2324, Training Dice: 0.0000
Epoch [6/100], Training Loss: 0.1768, Training Dice: 0.1584
Epoch [7/100], Training Loss: 0.1922, Training Dice: 0.5699
Epoch [8/100], Training Loss: 0.1397, Training Dice: 0.5493
Epoch [9/100], Training Loss: 0.0895, Training Dice: 0.8003
Epoch [10/100], Training Loss: 0.0772, Training Dice: 0.8219
Epoch [10/100], Validation Loss: 0.0598, Validation Dice: 0.8530
Epoch [11/100], Training Loss: 0.0783, Training Dice: 0.8368
Epoch [12/100], Training Loss: 0.0827, Training Dice: 0.8012
Epoch [13/100], Training Loss: 0.0461, Training Dice: 0.8963
Epoch [14/100], Training Loss: 0.0364, Training Dice: 0.9153
Epoch [15/100], Training Loss: 0.0502, Training Dice: 0.8888
Epoch [16/100], Training Loss: 0.0364, Training Dice: 0.9148
Epoch [17/100], Training Loss: 0.0313, Training Dice: 0.9243
Epoch [18/100], Training Loss: 0.0292, Training Dice: 0.9288
Epoch [19/100], Training Loss: 0.0282, Training Dice: 0.9312
Epoch [20/100], Training Loss: 0.0278, Training Dice: 0.9325
Epoch [20/100], Validation Loss: 0.0287, Validation Dice: 0.9205
Epoch [21/100], Training Loss: 0.0259, Training Dice: 0.9365
Epoch [22/100], Training Loss: 0.0250, Training Dice: 0.9386
Epoch [23/100], Training Loss: 0.0251, Training Dice: 0.9383
Epoch [24/100], Training Loss: 0.0238, Training Dice: 0.9411
Epoch [25/100], Training Loss: 0.0232, Training Dice: 0.9424
Epoch [26/100], Training Loss: 0.0229, Training Dice: 0.9432
Epoch [27/100], Training Loss: 0.0219, Training Dice: 0.9455
Epoch [28/100], Training Loss: 0.0227, Training Dice: 0.9433
Epoch [29/100], Training Loss: 0.0211, Training Dice: 0.9478
Epoch [30/100], Training Loss: 0.0207, Training Dice: 0.9484
Epoch [30/100], Validation Loss: 0.0233, Validation Dice: 0.9329
Epoch [31/100], Training Loss: 0.0203, Training Dice: 0.9493
Epoch [32/100], Training Loss: 0.0206, Training Dice: 0.9485
Epoch [33/100], Training Loss: 0.0200, Training Dice: 0.9500
Epoch [34/100], Training Loss: 0.0198, Training Dice: 0.9502
Epoch [35/100], Training Loss: 0.0190, Training Dice: 0.9527
Epoch [36/100], Training Loss: 0.0183, Training Dice: 0.9545
Epoch [37/100], Training Loss: 0.0180, Training Dice: 0.9551
Epoch [38/100], Training Loss: 0.0181, Training Dice: 0.9545
Epoch [39/100], Training Loss: 0.0180, Training Dice: 0.9550
Epoch [40/100], Training Loss: 0.0180, Training Dice: 0.9548
Epoch [40/100], Validation Loss: 0.0229, Validation Dice: 0.9333
Epoch [41/100], Training Loss: 0.0177, Training Dice: 0.9552
Epoch [42/100], Training Loss: 0.0175, Training Dice: 0.9557
Epoch [43/100], Training Loss: 0.0171, Training Dice: 0.9569
Epoch [44/100], Training Loss: 0.0169, Training Dice: 0.9578
Epoch [45/100], Training Loss: 0.0163, Training Dice: 0.9589
Epoch [46/100], Training Loss: 0.0163, Training Dice: 0.9592
Epoch [47/100], Training Loss: 0.0170, Training Dice: 0.9570
Epoch [48/100], Training Loss: 0.0165, Training Dice: 0.9581
Epoch [49/100], Training Loss: 0.0157, Training Dice: 0.9606
Epoch [50/100], Training Loss: 0.0154, Training Dice: 0.9610
Epoch [50/100], Validation Loss: 0.0190, Validation Dice: 0.9476
Epoch [51/100], Training Loss: 0.0154, Training Dice: 0.9612
Epoch [52/100], Training Loss: 0.0154, Training Dice: 0.9609
Epoch [53/100], Training Loss: 0.0153, Training Dice: 0.9612
Epoch [54/100], Training Loss: 0.0147, Training Dice: 0.9631
Epoch [55/100], Training Loss: 0.0150, Training Dice: 0.9620
Epoch [56/100], Training Loss: 0.0150, Training Dice: 0.9616
Epoch [57/100], Training Loss: 0.0140, Training Dice: 0.9650
Epoch [58/100], Training Loss: 0.0140, Training Dice: 0.9648
Epoch [59/100], Training Loss: 0.0141, Training Dice: 0.9642
Epoch [60/100], Training Loss: 0.0138, Training Dice: 0.9652
Epoch [60/100], Validation Loss: 0.0188, Validation Dice: 0.9466
Epoch [61/100], Training Loss: 0.0135, Training Dice: 0.9659
Epoch [62/100], Training Loss: 0.0138, Training Dice: 0.9651
Epoch [63/100], Training Loss: 0.0133, Training Dice: 0.9661
Epoch [64/100], Training Loss: 0.0133, Training Dice: 0.9662
Epoch [65/100], Training Loss: 0.0132, Training Dice: 0.9664
Epoch [66/100], Training Loss: 0.0131, Training Dice: 0.9670
Epoch [67/100], Training Loss: 0.0130, Training Dice: 0.9671
Epoch [68/100], Training Loss: 0.0125, Training Dice: 0.9685
Epoch [69/100], Training Loss: 0.0126, Training Dice: 0.9682
Epoch [70/100], Training Loss: 0.0130, Training Dice: 0.9668
Epoch [70/100], Validation Loss: 0.0185, Validation Dice: 0.9487
Epoch [71/100], Training Loss: 0.0128, Training Dice: 0.9676
Epoch [72/100], Training Loss: 0.0125, Training Dice: 0.9683
Epoch [73/100], Training Loss: 0.0122, Training Dice: 0.9695
Epoch [74/100], Training Loss: 0.0122, Training Dice: 0.9691
Epoch [75/100], Training Loss: 0.0122, Training Dice: 0.9689
